what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1430899593171
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1430899594515
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1430899599640
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1430899601890
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430899610546
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430899639046
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430899639281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430899640828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430899642859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430899643906
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430899643906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430899653609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430899658500
error,log,,,"Internal error logged from CDI Debug: ",1430899664890
error,log,,,"Internal error logged from CDI Debug: ",1430899664890
error,log,,,"Internal error logged from CDI Debug: ",1430899664890
error,log,,,"Internal error logged from CDI Debug: ",1430899664890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430899667125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430899669031
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430899669031
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430899671343
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1430899671500
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1430899674671
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430899678796
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430899683437
