what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431087636937
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431087638171
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431087638609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087677750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087738437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431087739609
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431087740796
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431087740906
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431087742109
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431087743546
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431087858437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431087877484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087880421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087881875
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431087881875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087892234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087897687
error,log,,,"Internal error logged from CDI Debug: ",1431087904937
error,log,,,"Internal error logged from CDI Debug: ",1431087904937
error,log,,,"Internal error logged from CDI Debug: ",1431087904937
error,log,,,"Internal error logged from CDI Debug: ",1431087904937
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431087910203
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431087910375
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431087913828
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431087919000
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431087919750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087922437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087923375
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431087923390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087927468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087932687
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431087932703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087934734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087937453
error,log,,,"Internal error logged from CDI Debug: ",1431087939218
error,log,,,"Internal error logged from CDI Debug: ",1431087939218
error,log,,,"Internal error logged from CDI Debug: ",1431087939218
error,log,,,"Internal error logged from CDI Debug: ",1431087939218
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431087942171
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431087942296
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431087950406
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431087951843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087955421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431087957156
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431087957171
